year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2005,Alabama,AL,East South Central,South,4442558,2142901,2299657,37.4,high school graduate (includes equivalency),630608,36879,97500,535,NA,754258,763484,195884,NA,NA,NA,NA,NA,NA,2082140,1977,2.484,1788692,1261475,527217,electricity,634841,911517,5480
2005,Alaska,AK,Pacific,West,641724,325699,316025,33.9,some college or associate's degree,105741,56234,197100,832,NA,71266,104525,17123,NA,NA,NA,NA,NA,NA,274246,1980,2.751,233252,147019,86233,utility gas,110812,25844,1388
2005,Arizona,AZ,Mountain,West,5829839,2902933,2926906,34.5,some college or associate's degree,946712,44282,185400,717,NA,824008,1065145,161128,NA,NA,NA,NA,NA,NA,2544806,1985,2.645,2204013,1502457,701556,electricity,795966,1249793,22146
2005,Arkansas,AR,West South Central,South,2701431,1314810,1386621,37,high school graduate (includes equivalency),335317,34999,87400,549,NA,461842,432085,124855,NA,NA,NA,NA,NA,NA,1249116,1978,2.484,1087542,736825,350717,utility gas,498494,410227,1865
2005,California,CA,Pacific,West,35278768,17497507,17781261,34.4,bachelor's degree or higher,6585960,53629,477700,973,NA,4673274,5371404,550043,NA,NA,NA,NA,NA,NA,12989254,1972,2.916,12097894,7070138,5027756,utility gas,8341302,2768337,257633
2005,Colorado,CO,Mountain,West,4562244,2283293,2278951,34.7,bachelor's degree or higher,1051177,50652,223300,757,NA,504106,944408,90000,NA,NA,NA,NA,NA,NA,2053178,1978,2.508,1819037,1233695,585342,utility gas,1364655,295124,3550
2005,Connecticut,CT,New England,Northeast,3394751,1645607,1749144,39.3,bachelor's degree or higher,803215,60941,271500,839,NA,281408,659870,71343,NA,NA,NA,NA,NA,NA,1423343,1961,2.564,1323838,919943,403895,"fuel oil, kerosene, etc.",392478,198805,1685
2005,Delaware,DE,South Atlantic,South,818587,396855,421732,37.9,high school graduate (includes equivalency),151879,52499,203800,793,NA,84811,159799,20636,NA,NA,NA,NA,NA,NA,374872,1976,2.577,317640,229860,87780,utility gas,121829,86460,1083
2005,Florida,FL,South Atlantic,South,17382511,8466292,8916219,39.5,high school graduate (includes equivalency),2978588,42433,189500,809,NA,2214381,3213520,554593,NA,NA,NA,NA,NA,NA,8256847,1982,2.466,7048800,4903949,2144851,electricity,366742,6352266,107738
2005,Georgia,GA,South Atlantic,South,8821142,4321977,4499165,34.3,high school graduate (includes equivalency),1528862,45604,147500,709,NA,1266205,1614736,281724,NA,NA,NA,NA,NA,NA,3771466,1983,2.657,3320278,2218217,1102061,utility gas,1542096,1434266,7990
2005,Hawaii,HI,Pacific,West,1238158,611556,626602,38.5,high school graduate (includes equivalency),231641,58112,453600,995,NA,121418,173911,28485,NA,NA,NA,NA,NA,NA,491071,1975,2.879,430007,256578,173429,no fuel used,13566,147093,255046
2005,Idaho,ID,Mountain,West,1395634,695097,700537,34.6,some college or associate's degree,204373,41443,134900,594,NA,192390,264314,39699,NA,NA,NA,NA,NA,NA,595572,1977,2.623,532135,379948,152187,utility gas,260103,176455,1305
2005,Illinois,IL,East North Central,North Central,12440351,6090298,6350053,35.6,bachelor's degree or higher,2361937,50260,183900,734,NA,1483873,2265586,358607,NA,NA,NA,NA,NA,NA,5144623,1964,2.652,4691020,3277573,1413447,utility gas,3805375,590388,15892
2005,Indiana,IN,East North Central,North Central,6093372,2991900,3101472,36.1,high school graduate (includes equivalency),840876,43993,114400,615,NA,740371,1221232,213201,NA,NA,NA,NA,NA,NA,2724429,1969,2.494,2443010,1759089,683921,utility gas,1559602,569835,5065
2005,Iowa,IA,West North Central,North Central,2862541,1409206,1453335,38.6,high school graduate (includes equivalency),458707,43609,106600,559,NA,310230,544219,86574,NA,NA,NA,NA,NA,NA,1306943,1961,2.384,1200833,877796,323037,utility gas,806578,174313,3342
2005,Kansas,KS,West North Central,North Central,2662616,1315990,1346626,36.1,some college or associate's degree,485962,42920,107800,588,NA,309561,483960,67309,NA,NA,NA,NA,NA,NA,1196211,1969,2.484,1071938,744580,327358,utility gas,767957,187231,908
2005,Kentucky,KY,East South Central,South,4058633,1985312,2073321,37.5,high school graduate (includes equivalency),523855,37369,103900,527,NA,680151,738499,208720,NA,NA,NA,NA,NA,NA,1865516,1975,2.454,1653898,1167973,485925,electricity,708146,711981,3024
2005,Louisiana,LA,West South Central,South,4389747,2117460,2272287,35.4,high school graduate (includes equivalency),574383,36729,101700,569,NA,864277,662139,294669,NA,NA,NA,NA,NA,NA,1940399,1974,2.618,1676599,1136873,539726,electricity,707781,882240,5134
2005,Maine,ME,New England,Northeast,1283673,626454,657219,41.2,high school graduate (includes equivalency),230337,42801,155300,623,NA,160627,248269,62142,NA,NA,NA,NA,NA,NA,683799,1969,2.368,542158,389203,152955,"fuel oil, kerosene, etc.",17913,26715,774
2005,Maryland,MD,South Atlantic,South,5461318,2630426,2830892,37.1,bachelor's degree or higher,1237960,61592,280200,891,NA,448038,1100282,98598,NA,NA,NA,NA,NA,NA,2273793,1973,2.619,2085647,1438614,647033,utility gas,949901,743330,5229
2005,Massachusetts,MA,New England,Northeast,6182860,2998038,3184822,38.2,bachelor's degree or higher,1564158,57184,361500,902,NA,637043,1128667,130036,NA,NA,NA,NA,NA,NA,2688014,1956,2.526,2448032,1567885,880147,utility gas,1142108,312355,7072
2005,Michigan,MI,East North Central,North Central,9865583,4824431,5041152,36.9,high school graduate (includes equivalency),1591506,46039,149300,655,NA,1299688,2006152,354306,NA,NA,NA,NA,NA,NA,4478507,1967,2.537,3887994,2903328,984666,utility gas,3020584,281809,10081
2005,Minnesota,MN,West North Central,North Central,4989848,2476815,2513033,36.7,some college or associate's degree,1010858,52024,198800,692,NA,456642,1092254,103848,NA,NA,NA,NA,NA,NA,2252022,1972,2.47,2020144,1530659,489485,utility gas,1360933,270318,10547
2005,Mississippi,MS,East South Central,South,2824156,1358126,1466030,35.5,high school graduate (includes equivalency),335560,32938,82700,538,NA,600288,434214,163851,NA,NA,NA,NA,NA,NA,1235496,1978,2.605,1084034,757446,326588,electricity,375908,499114,2235
2005,Missouri,MO,West North Central,North Central,5631910,2746587,2885323,37.4,high school graduate (includes equivalency),894485,41974,123100,593,NA,748023,1070777,234902,NA,NA,NA,NA,NA,NA,2592809,1972,2.464,2285280,1614217,671063,utility gas,1290804,617041,3465
2005,Montana,MT,Mountain,West,910651,452391,458260,40.2,some college or associate's degree,163909,39301,131600,552,NA,130441,150744,30032,NA,NA,NA,NA,NA,NA,428357,1972,2.473,368268,254458,113810,utility gas,216344,61116,949
2005,Nebraska,NE,West North Central,North Central,1706976,844899,862077,36.2,some college or associate's degree,302828,43849,113200,569,NA,186178,300240,46226,NA,NA,NA,NA,NA,NA,766951,1967,2.454,695592,474682,220910,utility gas,460350,146832,1441
2005,Nevada,NV,Mountain,West,2381281,1204079,1177202,35.2,some college or associate's degree,320972,49169,283400,861,NA,262092,427452,38595,NA,NA,NA,NA,NA,NA,1019427,1990,2.626,906719,550125,356594,utility gas,546125,296087,2196
2005,New Hampshire,NH,New England,Northeast,1272486,628494,643992,39.5,bachelor's degree or higher,276087,56768,240100,854,NA,95090,254938,24214,NA,NA,NA,NA,NA,NA,583324,1973,2.56,497054,362854,134200,"fuel oil, kerosene, etc.",94714,38310,909
2005,New Jersey,NJ,Middle Atlantic,Northeast,8521427,4138329,4383098,38,bachelor's degree or higher,1940194,61672,333900,935,NA,738969,1493048,129203,NA,NA,NA,NA,NA,NA,3443981,1963,2.712,3141956,2114072,1027884,utility gas,2197048,340369,7024
2005,New Mexico,NM,Mountain,West,1887200,921347,965853,36.2,high school graduate (includes equivalency),303523,37492,125500,587,NA,347759,304493,70230,NA,NA,NA,NA,NA,NA,838668,1979,2.593,727820,504354,223466,utility gas,484937,106056,813
2005,New York,NY,Middle Atlantic,Northeast,18655275,8993239,9662036,37.5,bachelor's degree or higher,3923933,49480,258900,841,NA,2565836,2560299,663074,NA,NA,NA,NA,NA,NA,7853020,1954,2.622,7114431,3936378,3178053,utility gas,3677056,602975,31294
2005,North Carolina,NC,South Atlantic,South,8411041,4112482,4298559,36.2,high school graduate (includes equivalency),1399562,40729,127600,635,NA,1262770,1575633,294728,NA,NA,NA,NA,NA,NA,3940554,1981,2.467,3409840,2325140,1084700,electricity,874796,1761058,9524
2005,North Dakota,ND,West North Central,North Central,609645,303655,305990,39.1,some college or associate's degree,105513,41030,88600,479,NA,68199,98142,16954,NA,NA,NA,NA,NA,NA,304458,1971,2.254,270437,182490,87947,utility gas,112506,86605,2502
2005,Ohio,OH,East North Central,North Central,11155606,5423416,5732190,37.6,high school graduate (includes equivalency),1725572,43493,129600,613,NA,1450650,2173185,398030,NA,NA,NA,NA,NA,NA,5007091,1964,2.475,4507821,3152610,1355211,utility gas,3070843,865476,12685
2005,Oklahoma,OK,West South Central,South,3433496,1680757,1752739,36.5,high school graduate (includes equivalency),502454,37063,89100,547,NA,564544,566189,151861,NA,NA,NA,NA,NA,NA,1588749,1973,2.487,1380595,937051,443544,utility gas,810457,399930,3061
2005,Oregon,OR,Pacific,West,3560109,1760453,1799656,37,some college or associate's degree,661161,42944,201200,689,NA,498854,643979,164750,NA,NA,NA,NA,NA,NA,1558421,1975,2.498,1425340,909113,516227,electricity,532903,677557,4467
2005,Pennsylvania,PA,Middle Atlantic,Northeast,11979147,5799557,6179590,39.7,high school graduate (includes equivalency),2099864,44537,131900,647,NA,1420396,2167383,373802,NA,NA,NA,NA,NA,NA,5422362,1958,2.465,4860140,3474048,1386092,utility gas,2510837,844189,8956
2005,Rhode Island,RI,New England,Northeast,1032662,497891,534771,38.4,bachelor's degree or higher,206893,51458,281300,775,NA,126150,183882,25076,NA,NA,NA,NA,NA,NA,447810,1955,2.543,406089,254639,151450,utility gas,194421,30711,746
