year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2008,Alabama,438988,2934,12802,94409,30033,36607,3248,11963,120121,48135,78736
2008,Alaska,38675,1070,2230,11329,1850,1885,303,1226,12246,3268,3268
2008,Arizona,395564,5522,11792,78140,26514,44788,3279,10620,94487,38311,82111
2008,Arkansas,282386,4231,8383,61388,20527,24926,2534,8541,78161,26623,47072
2008,California,1944170,23052,61408,346313,131765,216098,18487,51391,432979,216027,446650
2008,Colorado,228141,1943,7416,43680,15760,22906,2750,4987,61189,21602,45908
2008,Connecticut,183395,1057,4582,32894,10795,20239,1856,3423,45418,17658,45473
2008,Delaware,54920,1101,984,10642,4355,5087,191,1564,14310,6156,10530
2008,Florida,1288355,12482,25089,227906,89393,166055,9259,29473,280294,134346,314058
2008,Georgia,599630,7957,16441,120483,39240,44940,6145,17007,164832,67997,114588
2008,Hawaii,66961,425,1783,10448,5358,11334,227,857,11132,6619,18778
2008,Idaho,85089,1042,1407,15815,6666,10468,816,2800,21399,8796,15880
2008,Illinois,707637,7045,17717,130608,50598,70131,5418,17467,172163,77911,158579
2008,Indiana,410539,5105,11262,81909,28639,37803,3267,10724,113060,42011,76759
2008,Iowa,162822,824,3689,30169,11505,20251,1240,3993,36811,16925,37415
2008,Kansas,165052,1690,4757,30920,11657,18257,1207,4537,40270,15080,36677
2008,Kentucky,404001,3288,16349,95550,29774,28845,2785,12924,109921,40069,64496
2008,Louisiana,357011,4034,9243,75015,25426,29552,2906,9250,94771,41402,65412
2008,Maine,96938,1103,2687,21346,6170,9962,724,3082,23309,10235,18320
2008,Maryland,289862,2142,6591,54152,18775,28410,2535,7310,76825,30418,62704
2008,Massachusetts,349691,3962,7888,68582,23130,34607,2771,9160,82443,36594,80554
2008,Michigan,666767,6528,17154,134087,41280,60936,4906,20575,184147,63466,133688
2008,Minnesota,223552,3265,4866,41423,15547,27784,1585,5752,51133,20829,51368
2008,Mississippi,286217,2530,8045,59843,19690,20738,2666,8663,83941,31607,48494
2008,Missouri,427405,4226,8929,94168,30687,40480,3547,12429,116144,40620,76175
2008,Montana,65388,621,1357,14904,5506,6549,482,2514,15744,6231,11480
2008,Nebraska,92941,481,1433,16739,5741,10878,1036,2618,22773,10333,20909
2008,Nevada,140311,1359,4931,27126,12115,14232,1454,2140,34616,15772,26566
2008,New Hampshire,63553,1210,2574,12864,3572,6526,695,1916,15369,6386,12441
2008,New Jersey,457698,4984,9673,82577,29652,50489,3233,9944,105521,50679,110946
2008,New Mexico,148312,1549,4960,31070,10398,15844,1599,4883,34426,15902,27681
2008,New York,1209815,11474,28230,219196,78872,125717,10241,31435,291978,130318,282354
2008,North Carolina,642167,5972,17266,136941,43871,51438,6303,15812,174247,69968,120349
2008,North Dakota,33595,25,416,6176,2783,4509,122,670,7613,3022,8259
2008,Ohio,782422,6130,27040,155867,52501,72628,7343,23925,204566,77558,154864
2008,Oklahoma,322059,4330,8659,70136,23348,28103,3350,9607,85813,34683,54030
2008,Oregon,252148,2263,5774,49687,17966,27150,2042,7314,63088,24145,52719
2008,Pennsylvania,834601,6397,20546,165057,55582,87352,5561,17938,203015,88296,184857
2008,Rhode Island,64792,892,1706,14247,4386,7245,418,979,13835,5888,15196
2008,South Carolina,351340,4361,7568,72622,24140,30340,2708,7835,100055,39359,62352
2008,South Dakota,39357,77,537,7468,2341,5334,427,1593,8069,3504,10007
2008,Tennessee,506723,4668,13820,107726,36496,41241,3298,15429,143331,53416,87298
2008,Texas,1483349,19752,43772,291963,101946,140060,18448,39527,388052,163468,276361
2008,Utah,112991,1137,4371,19854,7569,11037,1512,5374,28162,11722,22253
2008,Vermont,37082,293,1611,6677,2764,3645,397,1030,8747,3325,8593
2008,Virginia,444220,5110,11471,86990,30882,41428,2695,11336,114783,47845,91680
