year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2008,Alabama,293533,24179,26055,58710,11953,19705,12310,21339,65920,14404,38958
2008,Alaska,28154,2524,3476,5201,1254,1348,2098,3330,6322,769,1832
2008,Arizona,266618,24454,25138,53659,9276,20577,13418,18873,58052,10140,33031
2008,Arkansas,192739,20560,21282,37388,7605,11543,10979,15256,37161,8602,22363
2008,California,1415410,120725,125279,269898,54898,106757,62760,105266,287578,74925,207324
2008,Colorado,158805,12296,15820,33373,6521,10186,7142,11622,36860,4715,20270
2008,Connecticut,129437,15017,12304,26373,3450,8008,5473,8126,28631,5469,16586
2008,Delaware,38942,4274,3288,6743,2070,2246,2570,3411,8522,1674,4144
2008,Florida,827119,77815,65047,159322,32774,78726,36030,44695,152565,44039,136106
2008,Georgia,409708,46122,36110,73722,14826,22081,21362,31019,86901,21475,56090
2008,Hawaii,46688,3636,3071,8282,2556,6257,1602,2472,7106,2037,9669
2008,Idaho,68825,6909,5260,14013,2452,4353,4191,7307,14146,3733,6461
2008,Illinois,466418,44824,44571,93396,18840,29662,24802,33569,92046,22567,62141
2008,Indiana,297881,34826,32439,58271,9674,18220,15553,26832,64780,11650,25636
2008,Iowa,123960,16193,10959,25811,5096,8158,8889,9744,24164,3534,11412
2008,Kansas,121703,14229,14663,25333,4091,6983,6758,9023,23057,4197,13369
2008,Kentucky,282115,27139,26698,63452,11976,13392,15709,22560,62192,11449,27548
2008,Louisiana,238012,25006,22123,47202,9146,13242,11910,18761,49610,11135,29877
2008,Maine,80384,9436,7747,18163,2796,3636,3916,7820,17084,3229,6557
2008,Maryland,203104,21487,21509,40392,7674,11693,11778,15911,40529,8509,23622
2008,Massachusetts,297305,34730,26923,61822,9199,14986,13614,23555,67321,12741,32414
2008,Michigan,511564,58930,49908,103223,16810,29254,30100,42465,106145,20083,54646
2008,Minnesota,188367,21359,19420,38292,7157,11607,10734,18823,38593,5610,16772
2008,Mississippi,187658,16124,15301,33084,9150,10406,8315,13945,48279,10741,22313
2008,Missouri,299671,31926,28800,66195,10566,17321,16079,22689,64154,11782,30159
2008,Montana,44807,4146,4469,10730,2021,3147,2207,3077,9075,946,4989
2008,Nebraska,64878,6721,6248,12480,1899,4898,3555,6140,12125,2006,8806
2008,Nevada,81485,8317,7924,16114,2895,5699,3586,5635,18441,2496,10378
2008,New Hampshire,52754,6859,5154,10483,1805,3287,3607,4379,10691,1131,5358
2008,New Jersey,289938,33962,26334,54129,10030,21041,13378,17434,55285,14819,43526
2008,New Mexico,101630,6669,10266,19905,4697,6948,3676,9278,21234,5504,13453
2008,New York,782965,82287,71232,146919,29976,52907,37008,53717,149758,38119,121042
2008,North Carolina,437368,47844,40038,84984,18104,25813,23368,28118,94357,22032,52710
2008,North Dakota,21119,2177,2523,3648,896,1670,656,2054,3763,825,2907
2008,Ohio,571453,66320,57606,111724,19733,32959,34985,42889,121281,21041,62915
2008,Oklahoma,215909,23781,19389,41816,10756,12621,11590,16655,46735,11005,21561
2008,Oregon,195020,17422,19835,40763,7481,11036,10508,14839,40575,8381,24180
2008,Pennsylvania,588931,64092,54899,117599,22850,37897,31847,42986,125538,23483,67740
2008,Rhode Island,53719,6289,4145,12901,1300,2658,2817,4644,11770,1748,5447
2008,South Carolina,225634,19886,19707,47828,10551,14663,9713,11994,52914,11455,26923
2008,South Dakota,29897,2684,2310,5452,497,3027,1745,4263,6260,498,3161
2008,Tennessee,349500,35186,29063,73434,14555,20266,14795,23647,82960,17437,38157
2008,Texas,1025194,116535,95128,183870,40934,65945,59610,80506,209967,48034,124665
2008,Utah,92681,11288,10577,17682,3003,5033,7641,8107,18181,2875,8294
2008,Vermont,35250,4413,4202,6379,529,2065,1578,3876,7142,1350,3716
2008,Virginia,303053,34682,32084,57709,12118,17642,14457,21637,61561,13279,37884
2008,Washington,303479,28381,29278,64397,10581,19482,14979,21163,69798,12788,32632
2008,West Virginia,121512,7864,9919,30559,4970,6774,5279,10538,27883,5209,12517
2008,Wisconsin,215868,25670,21497,39484,6667,13106,13312,18780,47662,7181,22509
2008,Wyoming,20164,2025,1864,4436,466,2311,698,1721,3758,666,2219
2009,Alabama,295044,30821,25463,59094,13735,15476,14334,22831,66968,15342,30980
2009,Alaska,28500,2438,4285,4644,942,1349,2052,2760,6481,1106,2443
2009,Arizona,277063,25994,25580,54041,11227,21025,15055,17442,59566,12384,34749
2009,Arkansas,185785,19918,17986,38026,7815,10903,7367,13734,40832,9912,19292
2009,California,1389788,116842,130170,282687,53546,103337,58589,90835,283295,70236,200251
2009,Colorado,167266,17201,20058,34721,5518,9116,7568,13725,34084,4952,20323
2009,Connecticut,129053,15285,10512,24503,3880,5973,6689,10060,30732,4950,16469
2009,Delaware,40402,3902,3724,6788,1491,3719,2386,3619,9196,1614,3963
2009,Florida,833824,73840,75601,145379,36847,77367,35343,53220,163106,38875,134246
2009,Georgia,412922,45653,42850,77420,15884,21504,19472,33715,86168,22438,47818
2009,Hawaii,47848,2609,3279,8258,2453,6883,1904,2105,6859,2564,10934
2009,Idaho,66937,8418,6890,14707,2229,3570,2593,7200,13443,2196,5691
