year,state,total,predominant,utility_gas,electricity,fuel_oil_kerosene,bottled_tank_lp_gas,wood,solar_energy,coal_coke,other,none
2019,California,13157873,utility gas,8469893,3497610,30373,426530,181624,108619,1717,39209,402298
2017,California,13005097,utility gas,8370720,3452150,32051,420817,197217,80261,1464,40946,409471
2018,California,13072122,utility gas,8342368,3496270,33503,426163,182905,95807,1595,43762,449749
2005,California,12097894,utility gas,8341302,2768337,48008,415918,217623,8634,1434,39005,257633
2006,California,12151227,utility gas,8337928,2723897,48947,427152,219668,7405,990,43541,341699
2007,California,12200672,utility gas,8293562,2872138,41530,399800,211660,6790,544,38585,336063
2010,California,12406475,utility gas,8289619,3042396,35932,393137,218319,12423,824,43325,370500
2016,California,12944178,utility gas,8286377,3461462,29687,411060,201493,66105,1138,45885,440971
2011,California,12468743,utility gas,8259792,3180216,35746,381065,216924,12405,1116,41419,340060
2015,California,12896357,utility gas,8252070,3427206,30962,399275,218185,43884,1567,42740,480468
2008,California,12176760,utility gas,8250001,2869006,35226,382257,211023,7719,1087,42358,378083
2014,California,12758648,utility gas,8249834,3323498,30061,406961,221127,29734,1597,45421,450415
2012,California,12552658,utility gas,8230125,3298902,34136,376616,215614,11821,1055,43454,340935
2013,California,12650592,utility gas,8149303,3379399,33220,414887,204825,22534,1593,46996,397835
2009,California,12214891,utility gas,8148678,3008533,39392,397820,219809,7525,451,37575,355108
2019,Florida,7905832,electricity,368160,7284195,9295,65262,11985,14702,712,3804,147717
2018,Florida,7809358,electricity,365966,7210000,11959,63395,10182,7099,402,4502,135853
2017,Florida,7689964,electricity,351403,7100222,10763,62817,10638,6965,817,4716,141623
2016,Florida,7573456,electricity,342799,6995113,8892,67492,11639,3315,617,3719,139870
2015,Florida,7463184,electricity,325205,6900036,10710,71936,12848,3522,930,2784,135213
2014,Florida,7328046,electricity,324973,6769006,12061,72578,13747,2030,452,3576,129623
2012,Florida,7197943,electricity,317127,6666798,16347,79261,13215,1321,257,2869,100748
2013,Florida,7211584,electricity,318727,6648779,13461,74420,14787,2486,523,3858,134543
2011,Florida,7106283,electricity,312612,6587042,16716,80366,17014,1287,203,2201,88842
2010,Florida,7035068,electricity,324544,6492160,19536,87923,13035,1628,314,3257,92671
2008,Florida,7057285,electricity,319945,6484079,21536,99110,13815,2232,307,3934,112327
2007,Florida,7088960,electricity,344016,6458841,28196,120477,12158,1226,186,3634,120226
2006,Florida,7106042,electricity,351698,6456457,31127,132487,14676,1787,403,3798,113609
2009,Florida,6987647,electricity,319252,6429648,20943,92744,15780,1925,170,2549,104636
2005,Florida,7048800,electricity,366742,6352266,39110,160769,14669,1962,312,5232,107738
2019,Texas,9985126,electricity,3499082,6101773,6632,283573,28184,11312,1333,9955,43282
2018,Texas,9776083,electricity,3472727,5927999,8778,276111,27474,7922,1349,13405,40318
2017,Texas,9623874,electricity,3422516,5824591,9195,281245,28835,5484,642,12979,38387
2016,Texas,9535612,electricity,3407001,5754927,8943,273637,32735,4028,1272,14285,38784
2015,Texas,9421412,electricity,3390924,5637227,9351,293458,35322,2021,620,12897,39592
2014,Texas,9277197,electricity,3418610,5460578,10582,293663,34848,1799,1089,15797,40231
2013,Texas,9110853,electricity,3320609,5387263,9731,293618,39408,1829,193,13553,44649
2012,Texas,8970959,electricity,3323361,5240726,11720,303869,39054,978,368,12505,38378
2011,Texas,8850370,electricity,3298684,5144371,10754,306275,37767,1900,971,15650,33998
