year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2009,Alabama,816609,85588,132676,18694,18694,18005,23664,25655,24408,16194,83435,124448,38133,36670,29768,33011,36776,35001,35789
2009,Alaska,98242,10284,16224,2265,3645,2716,2506,2904,2615,1638,12313,14539,4330,5139,3848,4165,2573,3196,3342
2009,Arizona,1276804,140968,180305,41243,59061,50194,46243,33619,24846,23893,124109,176334,61069,84499,62253,56394,44035,33186,34553
2009,Arkansas,581200,69419,105988,14450,13599,13604,17495,14896,13493,10654,61325,97183,22828,22957,17911,23074,20408,20327,21589
2009,California,6533515,689822,1002860,185807,189035,196236,224821,179912,161951,152464,648962,980736,278956,353566,288502,265355,240124,229430,264976
2009,Colorado,579065,72650,83010,12566,18472,15547,17524,16348,13015,13623,67606,81718,25529,36056,21868,22512,20220,19603,21198
2009,Connecticut,468837,41806,69334,15928,15946,17441,15771,13362,10742,9420,35864,59012,25631,35919,28296,22369,16384,17431,18181
2009,Delaware,147987,12335,19844,5751,5552,4174,4867,3626,2562,3884,13398,19604,8882,12989,8620,7296,5102,3463,6038
2009,Florida,2668500,285245,396849,61657,69401,61923,82454,81174,87969,92055,263201,371762,101411,131779,94923,106926,103486,122274,154011
2009,Georgia,1468984,186528,245429,32349,28777,30812,33158,41462,32140,23055,184875,248212,59317,68233,46882,47506,55970,52694,51585
2009,Hawaii,180139,17123,23243,6746,6464,6719,6641,4410,5298,4564,15489,24844,10300,12049,7858,7823,5982,6610,7976
2009,Idaho,206766,28920,35990,5370,6899,4931,4565,5253,4046,3999,29232,30398,6907,10323,7047,5325,6206,5029,6326
2009,Illinois,2141930,231057,352961,47420,59494,58538,57403,42851,43120,38699,228430,344294,109902,152856,105865,74771,60583,65167,68519
2009,Indiana,891248,105513,142872,21413,22909,25121,27623,20325,18569,15141,94215,135577,45676,58119,39494,34744,29104,27529,27304
2009,Iowa,424965,42273,61688,11562,13243,11958,15523,11058,13183,11697,42777,57802,22858,24231,16526,18157,15380,15160,19889
2009,Kansas,328767,39514,51148,8103,9165,7139,9418,7975,7004,8241,41497,51455,14837,16376,9716,11729,11896,11132,12422
2009,Kentucky,763972,74895,117216,17535,20221,24237,28556,22482,21274,14432,74255,115352,29773,41208,35706,35365,32568,29447,29450
2009,Louisiana,876758,95910,156625,22081,17747,15543,22520,19704,20046,15699,104445,149358,44429,38067,27862,31646,33182,31749,30145
2009,Maine,282209,20542,32336,10328,14139,12432,13620,10240,8101,7515,18011,32300,13075,22059,17281,14267,12538,11436,11989
2009,Maryland,703399,77773,109084,18833,17891,19397,20151,18695,19309,15669,72659,99443,35416,39730,29759,26753,26347,27358,29132
2009,Massachusetts,1241652,73920,128288,54203,60889,61744,70282,51813,32335,26007,74322,129333,71812,85316,82400,79386,63708,44968,50926
2009,Michigan,1811742,162760,264536,60128,69811,66197,74530,47976,38879,29866,156852,259514,99262,124072,94287,88009,66921,52723,55419
2009,Minnesota,697089,59264,89090,29538,33442,26751,31394,20793,16703,15065,59150,78196,41936,50428,37624,35538,26060,20021,26096
2009,Mississippi,648273,75358,105285,15649,13016,13496,20508,19283,15252,10522,63747,101962,34029,30722,21788,26159,27388,25680,28429
2009,Missouri,867681,97481,131301,20169,21321,24449,32075,22731,23151,15868,86633,130315,42682,46921,36510,39823,33425,31611,31215
2009,Montana,115527,13423,19901,3501,2364,3606,4588,3253,2400,3212,10895,18017,4578,5028,4735,4016,4158,4012,3840
2009,Nebraska,215757,26835,35869,5262,4638,4636,5956,5621,5226,5328,26881,31062,9321,11221,7168,7184,7025,6523,10001
2009,Nevada,250949,30780,36175,3494,6983,6314,8211,7116,7579,7148,29013,37576,7684,12987,10026,10301,8680,10512,10370
2009,New Hampshire,143569,12571,23487,3216,4409,4251,5717,4935,4056,4808,12696,21446,5711,7868,5514,5192,4741,5869,7082
2009,New Jersey,1059423,104609,145599,24642,27971,34068,41187,29842,29954,32807,93707,138510,37093,63535,60349,50644,39925,45027,59954
2009,New Mexico,429713,50886,67023,13374,12906,11566,12949,11850,9622,6963,45008,71062,21888,24083,15507,15087,13950,13578,12411
2009,New York,3853513,301343,489321,152393,145652,147188,184068,130318,95308,77785,278973,472131,202706,250547,225171,221017,185313,134460,159819
2009,North Carolina,1484468,180846,235121,40915,34428,34664,45503,38310,30550,25495,168028,224963,76453,76945,58292,60045,51109,48612,54189
2009,North Dakota,59779,6401,7709,1711,1445,1484,2096,1381,2027,2416,6021,6788,4187,3191,2178,2170,1894,2790,3890
2009,Ohio,1791472,176566,261759,51790,64190,60351,58408,41192,36194,35542,175357,255479,95744,143375,93153,69138,59391,54018,59825
2009,Oklahoma,595353,72517,106488,14203,12840,10993,13087,14181,16194,12511,70014,102121,24197,25190,17351,19001,20408,21280,22777
2009,Oregon,498251,53397,72359,12263,11725,14675,16378,16041,14345,12868,51750,71229,23830,27848,19418,19242,20275,17891,22717
2009,Pennsylvania,1934216,169764,283303,62734,58691,61234,74977,56174,48694,44945,157942,266654,99478,116084,101297,101669,80731,68530,81315
2009,Rhode Island,162023,13576,22626,3487,5508,6624,7894,4566,3598,3868,13019,19409,6580,13066,10603,8494,5259,6215,7631
2009,South Carolina,757803,83056,112272,18050,18811,21086,23641,22408,20795,16473,79979,106883,36811,41657,34076,29039,30078,29355,33333
2009,South Dakota,108859,13999,17268,3130,3616,1578,3475,2100,3328,3203,12071,16148,4703,6597,3229,2926,3343,3790,4355
2009,Tennessee,1136286,111732,162948,36460,33272,32275,39535,38939,29051,18936,109258,150105,60749,73616,58184,50433,48267,43720,38806
2009,Texas,3799154,544659,672462,71389,74950,72883,84800,84758,85208,77434,514366,641925,130231,142926,101718,112447,120693,125214,141091
2009,Utah,282471,36750,40795,8027,12068,7315,8407,5242,5966,6952,37139,39584,12067,17426,9156,10031,7679,8310,9557
2009,Vermont,133629,8966,17564,4816,6662,6252,6449,4973,2588,2637,9166,15859,7143,10607,6965,7933,5969,3467,5613
2009,Virginia,789337,83616,121450,18403,18464,19645,23426,20065,24903,20400,83859,114291,36450,40469,34244,28856,25551,35478,39767
2009,Washington,1027059,108586,158243,27490,33004,32376,38308,30354,26043,23230,100375,151202,43541,55381,43119,48757,40607,32227,34216
2009,West Virginia,335563,30734,47028,9322,11341,14898,15359,12883,8056,5796,29099,45701,14729,19014,16213,17042,15570,11262,11516
2009,Wisconsin,882869,78733,115581,25270,35128,33691,33760,24506,21137,19080,76234,106938,53483,72279,52701,43607,29978,26182,34581
2009,Wyoming,64011,8653,11425,1676,1751,1495,2231,1399,1895,1243,8363,7918,2673,3547,1309,1349,2702,2194,2188
2010,Alabama,856202,89775,149439,23531,18010,21572,26716,25289,19533,14319,86341,133629,38965,40638,33086,32789,34459,32608,35503
