year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2009,Alabama,781969,1206,2312,1247,5676,11306,22536,35969,154246,103710,1718,1717,1457,4399,12214,23232,44059,187870,167095
2009,Alaska,58787,175,120,238,505,798,1376,1508,15638,7641,134,119,181,477,823,989,2057,14797,11211
2009,Arizona,947737,440,1948,1460,3941,6618,16039,26124,201309,170885,840,1439,2181,3271,7943,19821,31310,229692,222476
2009,Arkansas,498358,783,1307,2376,4543,6346,13825,25910,97835,68678,499,1747,932,4407,7228,16706,26185,114681,104370
2009,California,4466388,15421,22305,10522,25412,40568,80673,129928,916323,721040,15466,22469,13478,23945,37891,72762,145580,1077152,1095453
2009,Colorado,579706,2628,2097,1018,3607,4851,9122,16076,132702,87111,2010,3365,1440,2572,5818,10215,16248,147527,131299
2009,Connecticut,505055,477,453,1109,2874,3352,8802,14216,106257,80633,604,548,722,2021,4116,9774,12605,124238,132254
2009,Delaware,139879,0,376,183,1530,1383,1858,4108,29344,22235,136,0,308,700,2154,2898,5651,35203,31812
2009,Florida,3416567,5702,8732,6003,12951,19980,50926,91637,677630,653427,4872,8612,5767,10580,22120,50043,102030,797615,887940
2009,Georgia,1172011,5894,6877,2737,6319,14326,27087,43815,251934,145926,3899,6115,3080,6572,13301,31103,55376,299628,248022
2009,Hawaii,190768,132,456,231,1140,1405,1777,4343,38634,35594,345,327,303,819,1171,1924,4278,44378,53511
2009,Idaho,208242,357,747,681,1133,2507,3626,8365,47543,33192,144,780,461,1397,1309,4499,7680,50107,43714
2009,Illinois,1695625,4601,6805,2888,7924,15061,32246,46653,353474,257779,3096,4433,3675,8945,18778,30664,49791,426891,421921
2009,Indiana,905115,736,2468,2472,4769,8976,20689,30042,192165,133954,1066,1877,1046,4604,8483,18400,31361,224523,217484
2009,Iowa,465302,223,1005,870,1557,3016,8725,12310,97755,77705,530,1121,490,2057,2768,8077,12348,112205,122540
2009,Kansas,394571,1077,1111,986,3132,3575,8746,10902,81136,63786,375,934,727,2859,4231,7135,13393,92852,97614
2009,Kentucky,688641,781,1748,1197,5568,9672,26475,37944,137666,89882,667,1163,2046,5209,7617,21013,34050,163436,142507
2009,Louisiana,642100,687,3250,890,5505,8880,18893,29896,127757,87494,274,2644,2552,4454,8402,15711,28897,156808,139106
2009,Maine,234942,120,766,609,1368,3213,7332,9424,49168,35470,64,374,606,2071,2772,5394,8862,53859,53470
2009,Maryland,733131,1868,2548,1398,3380,6217,13621,17540,158139,109346,873,2116,1224,3350,7817,13916,22082,190581,177115
2009,Massachusetts,945612,286,2246,2749,7142,10205,19682,24718,190687,147871,776,1450,1410,4483,12158,18811,28609,228394,243935
2009,Michigan,1533461,1534,3217,3201,8939,19299,38992,56403,319407,226228,1408,3425,3113,10306,17277,37357,60616,369346,353393
2009,Minnesota,710463,1215,1625,1744,2853,6540,12473,19762,156042,114269,897,2355,1343,3911,6940,11284,19955,172907,174348
2009,Mississippi,460574,1332,1849,1636,2941,7812,17332,22849,88415,57263,1553,1619,1540,2511,6620,14502,24889,107985,97926
2009,Missouri,937197,1715,3476,1947,6420,11612,24468,34338,191892,138007,1662,3175,3527,5546,12150,25764,34707,222859,213932
