year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2019,Alabama,AL,East South Central,South,4903185,2369611,2533574,39.4,high school graduate (includes equivalency),885357,51734,111622,739108,247490,0.4741,763853,4058661,552979,1002797,947428,2284922,154000,807,1984,2.584,0.8304773642163715,0.3121629911002247,0.6878370088997753,0.31598277753026144,electricity,0.2650117834542595,0.6641452041973549,0.003893915184424761
2019,Alaska,AK,Pacific,West,731545,380433,351112,35,some college or associate's degree,146157,75463,20650,71938,25988,0.4376,105956,599816,72490,98749,153906,319867,281200,1201,1984,2.901,0.788449574354341,0.3526064734594507,0.6473935265405494,0.31041964316419013,utility gas,0.4855213541687318,0.12137637341940294,0.004797798563832529
2019,Arizona,AZ,Mountain,West,7278717,3620935,3657782,38.3,some college or associate's degree,1492158,62055,176868,958442,251413,0.4591,1316135,5849769,1054769,1413075,1492236,3076048,255900,1101,1990,2.726,0.8681402240797282,0.34742239203187786,0.6525776079681221,0.35340020701887614,electricity,0.3286202541078421,0.6047315780427278,0.009085765235030468
2019,Arkansas,AR,West South Central,South,3017804,1474705,1543099,38.8,high school graduate (includes equivalency),475367,48952,67142,474739,127488,0.475,465788,2496808,350289,613935,787006,1389159,136200,742,1985,2.593,0.8376629313131182,0.3453263747511058,0.6546736252488942,0.2905002235165305,electricity,0.3869008384845232,0.5058415481670988,0.0028170055008090943
2019,California,CA,Pacific,West,39512223,19640794,19871429,37,bachelor's degree or higher,9428484,80440,1017660,4552837,1107229,0.4866,6595072,32402509,5316743,6099834,9926265,14367012,568500,1614,1975,3.003,0.9158392155585309,0.4513747016710072,0.5486252983289929,0.3465570293948387,utility gas,0.6437129314137627,0.26581879913265616,0.030574698509401938
2019,Colorado,CO,Mountain,West,5758736,2904955,2853781,37.1,bachelor's degree or higher,1695602,77127,115497,526979,153588,0.4548,1074276,4589923,885821,885809,967142,2464109,394600,1369,1985,2.576,0.9070633644859054,0.34145674718346314,0.6585432528165369,0.42302471197499786,utility gas,0.6844718118135943,0.23558869546504121,0.0048431772495495734
2019,Connecticut,CT,New England,Northeast,3565287,1743777,1821510,41.2,bachelor's degree or higher,994548,78833,102571,347149,153333,0.5024,554884,2959678,411076,648391,766077,1524959,280700,1177,1965,2.589,0.9030839517652606,0.3496833351970641,0.6503166648029359,0.3888688154894656,"fuel oil, kerosene, etc.",0.3634064448294541,0.17253838680304334,0.0034193408782964437
2019,Delaware,DE,South Atlantic,South,973764,470288,503476,41.4,bachelor's degree or higher,228199,70176,22631,106383,37915,0.4509,253694,702684,203336,206721,198453,443764,261700,1116,1984,2.588,0.8478357865892682,0.2969814399889432,0.7030185600110568,0.39057922679622503,utility gas,0.4243552635425886,0.351048136955499,0.004478536249564772
2019,Florida,FL,South Atlantic,South,21477737,10498005,10979732,42.4,bachelor's degree or higher,4753637,59227,471449,2664772,935759,0.4808,3899909,17256861,3085953,4782128,3663371,9674053,245100,1238,1987,2.717,0.8172202488450291,0.3375119784989107,0.6624880215010893,0.30474145634720007,electricity,0.04656815373764583,0.92136981914111,0.018684560967144256
2019,Georgia,GA,South Atlantic,South,10617423,5170126,5447297,37.2,bachelor's degree or higher,2301568,61980,251981,1373909,431783,0.4795,1621979,8798433,1244121,1705477,1791103,4378350,202500,1049,1989,2.756,0.8799465552091541,0.3587450301268145,0.6412549698731855,0.3620921123254194,electricity,0.38610392570016877,0.5558606218888814,0.004512663021444104
2019,Hawaii,HI,Pacific,West,1415872,707855,708017,39.6,bachelor's degree or higher,335209,83102,27112,128722,48397,0.4397,267626,1091089,202611,275116,244522,550328,669200,1651,1978,3.043,0.8454939599656932,0.39832236905731583,0.6016776309426841,0.3276300678867875,no fuel used,0.02111115648217598,0.3374217438679215,0.5861370860457469
2019,Idaho,ID,Mountain,West,1787065,898044,889021,36.9,some college or associate's degree,336655,60999,29127,195984,54700,0.4337,282027,1482884,217053,316938,282551,751113,255200,880,1989,2.725,0.8731828632975331,0.2843172084243717,0.7156827915756283,0.40156940433729676,utility gas,0.50907740840638,0.34415628969031453,0.0032781436253828946
2019,Illinois,IL,East North Central,North Central,12671821,6217305,6454516,38.6,bachelor's degree or higher,3108972,69187,320069,1420542,576552,0.48,1947472,10540905,1479449,2147220,2274453,5388210,209100,1020,1969,2.604,0.9030839555251188,0.33993772305254044,0.6600622769474596,0.37198049073811157,utility gas,0.7708116266194494,0.17022112179886337,0.006091854387355873
2019,Indiana,IN,East North Central,North Central,6732219,3319907,3412312,38,high school graduate (includes equivalency),1212826,57603,142084,775823,220463,0.4584,1044250,5587279,801207,1196696,1170506,2921115,156000,840,1974,2.592,0.8893059670707931,0.30691074827784653,0.6930892517221535,0.402096802077289,utility gas,0.5976225717106821,0.29748264373413297,0.0038968112974037297
2019,Iowa,IA,West North Central,North Central,3155070,1570384,1584686,38.5,some college or associate's degree,622253,61691,62357,341613,122030,0.4422,442678,2669236,330352,586776,602729,1418600,158900,808,1970,2.451,0.9073882701254758,0.2946976471017797,0.7053023528982203,0.38332228958127734,utility gas,0.6063263417859094,0.23691735917919302,0.004926892895625538
2019,Kansas,KS,West North Central,North Central,2913314,1446287,1467027,37.2,bachelor's degree or higher,652489,62087,56737,323189,79562,0.45,416628,2435203,321755,507608,379823,1288430,163200,862,1974,2.559,0.8835008498715491,0.33537140844167196,0.664628591558328,0.34026295569025866,utility gas,0.6429441751901251,0.25471546450982097,0.0023604775069421932
2019,Kentucky,KY,East South Central,South,4467673,2198205,2269468,39.2,high school graduate (includes equivalency),765923,52295,100537,703627,207660,0.4764,675469,3709427,501004,898979,1135120,2006335,151700,773,1980,2.555,0.8716051905589046,0.32990075094411264,0.6700992490558874,0.3326184311194292,electricity,0.3688255261526638,0.5268057083646894,0.002971295773165928
2019,Louisiana,LA,West South Central,South,4648794,2268202,2380592,37.7,high school graduate (includes equivalency),784275,51073,118011,857894,250912,0.4978,673522,3866168,505078,848218,1319888,2089824,172100,866,1980,2.67,0.8331208752507389,0.3350939304200391,0.6649060695799609,0.2862322377386804,electricity,0.3329969513105689,0.6398577661170448,0.0038527898839568176
2019,Maine,ME,New England,Northeast,1344212,656330,687882,45.1,bachelor's degree or higher,328999,58924,24471,141803,70356,0.449,197281,1130342,139575,315077,259524,750964,200500,870,1975,2.343,0.7638422081484598,0.2780578712662434,0.7219421287337566,0.3335060002876303,"fuel oil, kerosene, etc.",0.07801359092636563,0.08369332900989858,0.003849251592523247
2019,Maryland,MD,South Atlantic,South,6045680,2928013,3117667,39,bachelor's degree or higher,1710230,86738,147356,532241,217528,0.4558,993392,4952454,708864,1018034,1095661,2470307,332500,1401,1978,2.715,0.9014130632346506,0.3316911917591737,0.6683088082408263,0.4333906676376661,utility gas,0.4386565814923609,0.42197769232254656,0.00488241472951593
2019,Massachusetts,MA,New England,Northeast,6892503,3345556,3546947,39.7,bachelor's degree or higher,2181743,85843,151812,625763,296538,0.4803,1266727,5554242,966597,1221010,1498748,2928818,418600,1360,1962,2.6,0.9050340444506965,0.3783681923129159,0.621631807687084,0.3840655172154774,utility gas,0.5228149003274631,0.1693463564066579,0.004851585253595304
