year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2005,Alabama,AL,East South Central,South,4442558,2142901,2299657,37.4,high school graduate (includes equivalency),630608,36879,NA,754258,195884,NA,NA,NA,NA,NA,NA,2082140,97500,535,1977,2.484,0.859064231992085,0.29475001844923554,0.7052499815507645,0.36668235565331825,electricity,0.35491912526024605,0.5095997522211761,0.003063691233594157
2005,Alaska,AK,Pacific,West,641724,325699,316025,33.9,some college or associate's degree,105741,56234,NA,71266,17123,NA,NA,NA,NA,NA,NA,274246,197100,832,1980,2.751,0.8505210650292073,0.3696988664620239,0.6303011335379761,0.38113591447094947,utility gas,0.47507416871023617,0.11079862123368717,0.005950645653627836
2005,Arizona,AZ,Mountain,West,5829839,2902933,2926906,34.5,some college or associate's degree,946712,44282,NA,824008,161128,NA,NA,NA,NA,NA,NA,2544806,185400,717,1985,2.645,0.8660829155542702,0.3183084673275521,0.681691532672448,0.41855646363612786,electricity,0.3611439678441098,0.5670533703748571,0.010048035106870967
2005,Arkansas,AR,West South Central,South,2701431,1314810,1386621,37,high school graduate (includes equivalency),335317,34999,NA,461842,124855,NA,NA,NA,NA,NA,NA,1249116,87400,549,1978,2.484,0.870649323201368,0.3224859361753385,0.6775140638246615,0.34591262941151985,utility gas,0.458367584884078,0.3772056619422514,0.0017148762990302903
2005,California,CA,Pacific,West,35278768,17497507,17781261,34.4,bachelor's degree or higher,6585960,53629,NA,4673274,550043,NA,NA,NA,NA,NA,NA,12989254,477700,973,1972,2.916,0.9313771214266808,0.4155893579494084,0.5844106420505916,0.4135267506509612,utility gas,0.6894838060244205,0.22882800923863278,0.021295689977115024
2005,Colorado,CO,Mountain,West,4562244,2283293,2278951,34.7,bachelor's degree or higher,1051177,50652,NA,504106,90000,NA,NA,NA,NA,NA,NA,2053178,223300,757,1978,2.508,0.8859616652818216,0.3217867476032648,0.6782132523967352,0.45997375775505095,utility gas,0.750207389954135,0.16224188952726085,0.0019515820733717896
2005,Connecticut,CT,New England,Northeast,3394751,1645607,1749144,39.3,bachelor's degree or higher,803215,60941,NA,281408,71343,NA,NA,NA,NA,NA,NA,1423343,271500,839,1961,2.564,0.9300906387286831,0.305093976755464,0.694906023244536,0.46360575068693916,"fuel oil, kerosene, etc.",0.2964698097501356,0.15017320850436383,0.0012728143473748298
2005,Delaware,DE,South Atlantic,South,818587,396855,421732,37.9,high school graduate (includes equivalency),151879,52499,NA,84811,20636,NA,NA,NA,NA,NA,NA,374872,203800,793,1976,2.577,0.8473292217076762,0.2763505855685682,0.7236494144314318,0.4262761689323289,utility gas,0.38354426394660623,0.27219493766528147,0.003409520211560257
2005,Florida,FL,South Atlantic,South,17382511,8466292,8916219,39.5,high school graduate (includes equivalency),2978588,42433,NA,2214381,554593,NA,NA,NA,NA,NA,NA,8256847,189500,809,1982,2.466,0.8536914878040007,0.3042859777550789,0.6957140222449211,0.3891945678538067,electricity,0.05202899784360458,0.9011840313244808,0.015284587447508796
2005,Georgia,GA,South Atlantic,South,8821142,4321977,4499165,34.3,high school graduate (includes equivalency),1528862,45604,NA,1266205,281724,NA,NA,NA,NA,NA,NA,3771466,147500,709,1983,2.657,0.880368005438734,0.3319182911792326,0.6680817088207675,0.42814544795047865,utility gas,0.4644478564746687,0.4319716602043564,0.0024064250041713376
