year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2018,Alabama,AL,East South Central,South,4887871,2369271,2518600,39.3,high school graduate (includes equivalency),852037,49861,124835,800422,247434,0.4859,696234,4113860,497776,985028,946145,2274711,147900,788,1984,2.635,0.8155690986679187,0.3196054946571337,0.6803945053428663,0.30525504118984786,electricity,0.27105882758799127,0.6567450991384143,0.004391478149876239
2018,Alaska,AK,Pacific,West,737438,382952,354486,34.9,some college or associate's degree,146428,74346,25410,78620,27815,0.4322,99431,613602,68797,95396,156943,318352,276100,1177,1984,2.897,0.79958976227572,0.3435185876307695,0.6564814123692305,0.32261773131627886,utility gas,0.479353842648428,0.13614560539931095,0.009778001264972441
2018,Arizona,AZ,Mountain,West,7171646,3565129,3606517,38,some college or associate's degree,1438493,59246,181757,983499,271775,0.4613,1261245,5803554,1007035,1354790,1580796,3035902,241100,1036,1990,2.743,0.861127269589071,0.35188452119842495,0.648115478801575,0.3532729317349506,electricity,0.3285126638202684,0.6038255776502909,0.00936389042106141
2018,Arkansas,AR,West South Central,South,3013825,1476680,1537145,38.1,high school graduate (includes equivalency),471275,47062,61872,504504,131342,0.4845,421603,2538900,307459,605711,802927,1380521,133100,731,1984,2.606,0.8376163781644755,0.3424110582723006,0.6575889417276994,0.2970871142126777,electricity,0.369850918452679,0.5173057914276596,0.002823546911091567
2018,California,CA,Pacific,West,39557045,19673553,19883492,36.7,bachelor's degree or higher,9171076,75277,1108664,4969326,1114465,0.4912,6284914,32777551,5036272,5948201,10324302,14277867,546800,1520,1975,3.026,0.9155514615733569,0.45183620532305313,0.5481637946769469,0.3494016998477434,utility gas,0.6381800904244926,0.26746001911548867,0.034405202154631054
2018,Colorado,CO,Mountain,West,5695564,2864761,2830803,36.9,bachelor's degree or higher,1625549,71953,122498,537492,156794,0.4561,1007071,4597034,818968,859405,1044659,2424128,373300,1289,1984,2.617,0.8979546459592893,0.34858093944340135,0.6514190605565986,0.4101912110251604,utility gas,0.6901790140102915,0.23152791055685132,0.004335807809507446
2018,Connecticut,CT,New England,Northeast,3572665,1740533,1832132,41.1,bachelor's degree or higher,987230,76348,106371,361377,154161,0.5014,544320,2979522,396820,633696,725230,1521123,277400,1171,1965,2.592,0.9059694712393409,0.3420093448110466,0.6579906551889534,0.40066187941409076,"fuel oil, kerosene, etc.",0.3609500388581015,0.16865359399343005,0.0032138661380126565
2018,Delaware,DE,South Atlantic,South,967171,467924,499247,41.1,high school graduate (includes equivalency),212992,64805,27858,117242,41515,0.4587,290485,661726,244963,198342,203535,438659,255300,1108,1983,2.631,0.8381704239511785,0.28973185266175466,0.7102681473382453,0.37711525353406633,utility gas,0.42912277552485784,0.3342743920515896,0.0029510078303700863
2018,Florida,FL,South Atlantic,South,21299325,10404676,10894649,42.2,bachelor's degree or higher,4647230,55462,530845,2840977,1077869,0.4887,3785377,17210630,2968818,4631522,3829135,9547762,230600,1182,1986,2.727,0.8179254991902815,0.3407598934509085,0.6592401065490915,0.3027897008744039,electricity,0.046862494970777366,0.923251309518657,0.01739618032621888
2018,Georgia,GA,South Atlantic,South,10519475,5120290,5399185,36.8,bachelor's degree or higher,2224033,58756,249896,1468642,453168,0.4822,1474750,8860208,1105863,1643902,1798637,4326266,189900,1008,1989,2.766,0.8790518197447869,0.36197019625496846,0.6380298037450316,0.36246314951507835,electricity,0.3875680644710035,0.5526877117400629,0.004407559061081059
2018,Hawaii,HI,Pacific,West,1420491,710702,709789,39.3,bachelor's degree or higher,333573,80212,27230,122143,45590,0.445,249277,1119272,182719,264184,241934,546261,631700,1613,1979,3.12,0.8335008356811121,0.4171782240192924,0.5828217759807076,0.31280285431323124,no fuel used,0.024168202253853976,0.29618127469476774,0.6229286045301103
